24,67,69954,50028,4710,14536,5988,13749,15991,12128
29,64,4771,19759,9130,10909,14345,15269,20513,11784
37,70,223505,109716,24114,15325,13662,23962,46219,18357
54,53,327820,10198,5288,10122,22944,25152,15886,10214
63,56,16555,14121,11929,2338,10898,14899,11706,15969
67,51,367787,20806,12700,3973,18444,31125,10730,11408
74,60,26837,28739,21591,5095,8544,14444,16314,16304
64,53,58174,34626,4707,6592,12981,16307,14844,9569
60,64,813831,26307,30751,10770,9832,16397,9622,20079
56,64,12863,11869,5772,2877,10237,12185,17778,10770
53,53,31219,55112,3141,13412,7550,13766,12335,6758
50,69,29414,11241,28102,13754,40855,13156,22923,4099
44,63,666522,58205,7651,34045,19581,14206,5770,15350
23,57,634068,228114,9738,27785,6881,9907,21025,9946
24,57,839518,33283,11293,2133,10335,10920,7945,11876
26,48,1463246,40610,14576,7620,15206,23583,9528,5560
29,41,1122070,139709,19073,37502,29893,35837,44956,12988
35,30,1200623,57665,3968,1312,5775,3789,5276,3881
35,35,481763,21455,4642,7303,4009,8643,5240,2787
23,30,753563,202905,42469,5514,4350,23256,56097,16954
13,10,2181547,974042,9815,25431,19353,54573,72807,43667
30,21,194615,78011,16812,6763,19382,56452,52904,14182
47,23,20579,9931,14919,9686,7024,58132,20520,24396
56,41,288799,57238,106344,4717,11649,52954,37970,37197
69,57,1370864,162642,14986,27131,42622,59544,29459,26009
60,70,2146143,38011,10909,19844,8929,10644,20086,6050
40,70,1506656,251886,97523,33475,150369,52971,14424,9466
30,56,255874,23376,3525,3789,4193,3215,2595,1635
24,64,518656,71265,4524,30020,16458,12766,11365,7376
21,50,258214,30693,2667,2625,3823,3574,1857,1652
23,51,37248,33784,9479,5957,6379,10109,8493,2188
30,63,26455,6055,4431,8865,6093,4756,6779,4111
30,70,43749,31718,12137,27794,7572,11057,5585,3896
38,93,27050,18270,7098,25139,2828,11667,5526,6944
35,100,70988,23201,18695,3490,5436,6051,10901,11593
26,96,17984,83744,35990,16382,10606,10770,8594,7012
37,83,38229,18393,4485,4617,5456,14880,9866,9916
37,81,28667,15848,18615,9396,6033,9900,7648,5400
38,88,56064,23492,29400,11202,6562,9479,9432,3373
37,78,21690,139747,14618,22117,23335,10586,13041,6921
20,70,232655,20762,1077,2080,870,1690,273,973
26,53,131733,27064,5971,5942,21672,18007,16036,6936
41,38,175365,62212,19329,31629,36956,117246,7794,17805
54,48,11720,25430,11766,14281,10774,15396,8361,7523
63,61,22411,16793,5735,8791,6213,7382,5572,5548
50,70,1579376,41324,12218,7634,4916,4392,3911,1273
